01|3503|2001239|240|2012-04-26|84238102|170152.64|S
01|3503|3005946|240|2013-11-12|84238102|173459.72|S
01|3232|4001086|800|2014-02-07|39231001|12030.41|N
01|3503|4001078|240|2014-03-03|39199099|14699.62|N
01|3232|4001872|800|2014-03-04|39231001|31710.49|N
01|3503|4001125|240|2014-03-13|39199099|17191.53|N
01|3503|4002183|240|2014-04-29|39231001|108631.92|N
01|3503|4005291|240|2014-09-12|39199099|13901.02|N
01|3503|4005291|240|2014-09-12|48211001|29419.81|N
01|3483|4901371|800|2014-10-03|39231001|39041.86|N
01|3483|4901609|800|2014-10-10|39199099|42536.84|N
01|3483|4901609|800|2014-10-10|39231001|166997.967|N
01|3483|4901609|800|2014-10-10|39235001|88731.78038|N
01|3483|4901609|800|2014-10-10|48211001|92221.66|N
01|3503|4004768|240|2014-10-14|39231001|43191.11|N
01|3433|4010451|240|2014-10-16|84224099|2994032.05|S
01|3433|4010465|240|2014-10-24|39231001|54950.97|N
01|3433|4010459|240|2014-10-25|39201099|368888.6666|N
01|3433|4010457|240|2014-10-27|39231001|83165.67341|N
01|3433|4010456|240|2014-10-28|39191001|44924.71|N
01|3433|4010456|240|2014-10-28|39231001|332983.96|N
01|3433|4010458|240|2014-11-03|39191001|4347.54|N
01|3433|4010458|240|2014-11-03|39231001|318332.1436|N
01|3433|4010458|240|2014-11-03|39235001|24929.05|N
01|3433|4010488|240|2014-11-10|39201099|40802.1|N
01|3433|4010488|240|2014-11-10|39231001|92475.63|N
01|3433|4010493|240|2014-11-12|39191001|8773.54|N
01|3433|4010502|240|2014-11-19|39231001|385806.77|N
01|3433|4010503|240|2014-11-21|84224099|1964045.19|S
01|3433|4010515|240|2014-12-02|39191001|33494.17809|N
01|3433|4010521|240|2014-12-04|39191001|5489.64|N
01|3433|4010522|240|2014-12-08|76082001|2540.97|S
01|3433|4010522|240|2014-12-08|76169999|1693.98|S
01|3433|4010522|240|2014-12-08|85176299|7058.25|S
01|3433|4010529|240|2014-12-09|39191001|57647.14|N
01|3433|4010529|240|2014-12-09|39201099|146503.76|N
01|3433|4010529|240|2014-12-09|39231001|250348.78|N
01|3433|4010529|240|2014-12-09|48211001|16021.04|N
01|3433|4010534|240|2014-12-16|39201099|67837.12|N
01|3433|4010534|240|2014-12-16|39231001|160523.25|N
01|3433|4010538|240|2014-12-22|39231001|412668.27|N
01|3433|4010544|240|2014-12-29|39201099|151815.67|N
01|3433|4010544|240|2014-12-29|39231001|359048.59|N
